,PDF Name,Page Number,UEN Number,Notes Page Content,Q&A model Output,Input_length,Summarized_Description_facebook_bart,Summarized_Description_philschmid_bart,Summarized_Description_azma_bart,Summarised?,Azma_bart_tfidf,FB_bart_tfidf,Philschmid_bart_tfidf
45,META HEALTH LIMITED 2022 (198804700N).pdf,67,198804700N,principal activities of the Company consist of investment holding and metal stamping and manufacturing of tools and fixtures. ,investment holding and metal stamping and manufacturing of tools and fixtures,18,principal activities of the Company consist of investment holding and metal stamping and manufacturing of tools and fixtures. ,principal activities of the Company consist of investment holding and metal stamping and manufacturing of tools and fixtures. ,principal activities of the Company consist of investment holding and metal stamping and manufacturing of tools and fixtures. ,No,consist metal stamping manufacturing tools,consist metal stamping manufacturing tools,consist metal stamping manufacturing tools
46,METIS ENERGY LIMITED 2022 (199006289K).pdf,52,199006289K,principal activities of the Company are those of investment holding and the provision of management services. ,investment holding and the provision of management services,16,principal activities of the Company are those of investment holding and the provision of management services. ,principal activities of the Company are those of investment holding and the provision of management services. ,principal activities of the Company are those of investment holding and the provision of management services. ,No,provision management,provision management,provision management
47,METRO HOLDINGS LTD 2023 (197301792W).pdf,95,197301792W,"principal activities of the Company are those of a management, property investment and holding company. The principal activities of the Group are those of management and holding companies, retailers and department store operators, property investment and developers. ","management and holding companies, retailers and department store operators, property investment and developers",37,"Principal activities of the Group are those of management and holding companies, retailers and department store operators, property investment and developers. The Company's. principal","The principal activities of the Company are those of a management, property investment and holding company. The Group's principal activities are management and holding companies","The principal activities of the Company are those of a management, property investment and holding company. The Group activities include those of management and holding companies, retailers",Yes,property include management retailers,management retailers department store property,property management companies
48,MIYOSHI LIMITED 2022 (198703979K).pdf,88,198703979K,"principal activities of the Company are those of designing and manufacturing of mould and precision pressed parts and trading in related products, and trading of commodities. ",designing and manufacturing of mould and precision pressed parts,26,"principal activities of the Company are those of designing and manufacturing of mould and precision pressed parts and trading in related products, and trading of commodities. ","principal activities of the Company are those of designing and manufacturing of mould and precision pressed parts and trading in related products, and trading of commodities. ","principal activities of the Company are those of designing and manufacturing of mould and precision pressed parts and trading in related products, and trading of commodities. ",No,designing manufacturing mould precision pressed parts related,designing manufacturing mould precision pressed parts related,designing manufacturing mould precision pressed parts related
49,MUN SIONG ENGINEERING LIMITED 2022 (196900250M).pdf,69,196900250M,"principal activities of the Company are those of mechanical engineering, provision of specialised services and investment holding. In March 2019, the Company established a branch office known as Mun Siong Engineering Limited, Taiwan branch in Kaohsiung, Republic of China ( Taiwan ). The following notes for the Company include the results of the branch office. ","mechanical engineering, provision of specialised services and investment holding",55,"In March 2019, the Company established a branch office known as Mun Siong Engineering Limited, Taiwan branch in Kaohsiung, Republic of China ( Taiwan ). The following notes for the Company include the results of the branch office","Mun Siong Engineering Limited established a branch office in Kaohsiung, Republic of China in March 2019. Its principal activities are mechanical engineering, provision of specialised services and investment holding.","The Company is engaged in mechanical engineering, provision of specialised services and investment holding. In March 2019, the Company established a branch office known as Mun Siong Engineering Limited, Taiwan branch in Kaohsiung,",Yes,engaged mechanical provision specialised services established branch office known branch,established branch office known branch following notes include results branch,established branch office mechanical provision specialised services
50,NAM LEE PRESSED METAL INDUSTRIES LIMITED 2023 (200508494D).pdf,75,200508494D,"principal activities of the Company include the design, fabrication, supply and installation of steel and aluminium products such as gates, door frames, railings, laundry racks, letter boxes, sliding windows, sliding doors, curtain wall and cladding system for building and infrastructure projects and the supply of aluminium industrial products for container refrigeration units. ","design, fabrication, supply and installation of steel and aluminium products",52,"The Company's principal activities include the design, fabrication, supply and installation of steel and aluminium products such as gates, door frames, railings, laundry racks and letter boxes.","The Company's principal activities include the design, fabrication, supply and installation of steel and aluminium products for building and infrastructure projects and aluminium industrial products for container refrigeration units.","The Company designs, manufactures and supplies a range of products for building and infrastructure projects. It also supplies products for container refrigeration units.",Yes,manufactures supplies range products building infrastructure supplies products container refrigeration,include supply installation steel aluminium products door laundry racks letter,include supply installation steel aluminium products building infrastructure projects aluminium
51,NANOFILM TECHNOLOGIES INTERNATIONAL LIMITED 2022 (199902564C).pdf,130,199902564C,"principal activities of the Company are that of the design, research, development, integration, manufacturing and marketing of advanced material science and nano technology in industrial machinery, coating services / surface solutions and precision components. ","design, research, development, integration, manufacturing and marketing",34,"The Company's principal activities are that of the design, research, development, integration, manufacturing and marketing of advanced material science and nano technology","The Company's principal activities are that of the design, research, development, integration, manufacturing and marketing of advanced material science and nano","The Company designs, develops, manufactures and markets advanced material science and nano technology in industrial machinery, coating services / surface solutions and precision components.",Yes,manufactures markets advanced material science nano technology industrial coating services,manufacturing marketing advanced material science nano technology,manufacturing marketing advanced material science nano
52,NERA TELECOMMUNICATIONS LTD 2022 (197802690R).pdf,84,197802690R,"principal activities of the Company are to engage in the sale, distribution, design, engineering, servicing, installation and maintenance of telecommunication systems and products in transmission networks and satellite communications and information technology networks. ","sale, distribution, design, engineering, servicing, installation and maintenance",33,"The Company's principal activities are to engage in the sale, distribution, design, engineering, servicing, installation and maintenance of telecommunication systems","The Company's principal activities are to engage in the sale, distribution, design, engineering, servicing, installation and maintenance of telecommunication","The Company is engaged in the sale, distribution, design, engineering, installation and maintenance of telecommunication systems and products in transmission networks and satellite",Yes,engaged installation maintenance telecommunication systems products transmission networks satellite,engage installation maintenance telecommunication systems,engage installation maintenance telecommunication
53,NIPPECRAFT LIMITED 2022 (197702861N).pdf,100,197702861N,"principal activities of the Group and the Company are those relating to the design, manufacture, distribution and trading of paper, personal and business organising tools, as well as general trading of pulp, chemical, and recycled waste and other products. ","design, manufacture, distribution and trading of paper, personal and business organising tools",39,"The Group and the Company are those relating to the design, manufacture, distribution and trading of paper, personal and business organising tools, as well as general trading of","The principal activities of the Group and the Company are those relating to the design, manufacture, distribution and trading of paper, personal and business organising tools,","The principal activities of the Group and the Company are those relating to the design, manufacture, distribution and trading of paper, personal and business organising tools, as well",Yes,relating distribution personal business organising,relating distribution personal business organising general,relating distribution personal business organising
54,NOEL GIFTS INTERNATIONAL LTD. 2023 (198303940Z).pdf,70,198303940Z,"principal activities of the Company are the marketing of gifts, property investment and development and the operation of a franchise programme whereby franchisees will have the right to use the Company s name, creative gift designs, marketing, sales, operations and purchasing strategies and systems. ","marketing of gifts, property investment and development and the operation of a franchise programme",44,"The Company's principal activities are the marketing of gifts, property investment and development and the operation of a franchise programme. Franchisees will have the right to use the Company s name,","The principal activities of the Company are the marketing of gifts, property investment and development and the operation of a franchise programme. The franchisees will have the right to use the Company","The Company is engaged in the marketing of gifts, property investment and development and the operation of a franchise programme. The franchisees will have the right to use the Company's name",Yes,engaged marketing property development operation franchise franchisees right use,marketing property development operation franchise right use,marketing property development operation franchise franchisees right use
55,OSSIA INTERNATIONAL LIMITED 2023 (199004330K).pdf,73,199004330K,principal activity is investment holding. ,investment holding,5,principal activity is investment holding. ,principal activity is investment holding. ,principal activity is investment holding. ,No,principal activity is investment holding. ,principal activity is investment holding. ,principal activity is investment holding. 
56,OUE LIMITED 2022 (196400050E).pdf,76,196400050E,"principal activities of the Company are those of hospitality services, property investment and investment - other investments, net of tax 496 487 holding. ","hospitality services, property investment and investment",23,"principal activities of the Company are those of hospitality services, property investment and investment - other investments, net of tax 496 487 holding. ","principal activities of the Company are those of hospitality services, property investment and investment - other investments, net of tax 496 487 holding. ","principal activities of the Company are those of hospitality services, property investment and investment - other investments, net of tax 496 487 holding. ",No,hospitality property net tax 496 487,hospitality property net tax 496 487,hospitality property net tax 496 487
57,PENGUIN INTERNATIONAL LIMITED 2022 (197600165Z).pdf,38,197600165Z,"principal activities of the Company are to act as: (i) owners and operators of passenger ferries, (ii) designers and Description Effective for annual builders of search-and-rescue vessels, and (iii) investment holding. ",owners and operators of passenger ferries,31,"The Company's. principal activities are to act as: (i) owners and operators of passenger ferries, (ii) designers and","The Company's principal activities are to act as owners and operators of passenger ferries, designers and builders of search-and-rescue","The Company is engaged in three business activities: owners and operators of passenger ferries, designers and builders of search-and-res",Yes,engaged business owners operators passenger designers builders,act owners operators passenger designers,act owners operators passenger designers builders
58,PNE INDUSTRIES LTD 2023 (199905792R).pdf,37,199905792R,principal activities of the Company is that of investment holding and provision of management services. ,investment holding and provision of management services,15,principal activities of the Company is that of investment holding and provision of management services. ,principal activities of the Company is that of investment holding and provision of management services. ,principal activities of the Company is that of investment holding and provision of management services. ,No,provision management,provision management,provision management
59,PSC CORPORATION LTD. 2022 (197400888M).pdf,85,197400888M,The  The Company also provides management services to its subsidiaries. principal activities of the significant subsidiaries are set out in note 7 to the financial statements. ,note 7 to the financial statements,26,The  The Company also provides management services to its subsidiaries. principal activities of the significant subsidiaries are set out in note 7 to the financial statements. ,The  The Company also provides management services to its subsidiaries. principal activities of the significant subsidiaries are set out in note 7 to the financial statements. ,The  The Company also provides management services to its subsidiaries. principal activities of the significant subsidiaries are set out in note 7 to the financial statements. ,No,provides management services significant subsidiaries set note financial,provides management services significant subsidiaries set note financial,provides management services significant subsidiaries set note financial
60,QIAN HU CORPORATION LIMITED 2022 (199806124N).pdf,128,199806124N,"principal activities of the Company are those relating to import, export, farming, breeding and distribution of ornamental fishes and aquarium and pet accessories. ","import, export, farming, breeding and distribution of ornamental fishes",23,"principal activities of the Company are those relating to import, export, farming, breeding and distribution of ornamental fishes and aquarium and pet accessories. ","principal activities of the Company are those relating to import, export, farming, breeding and distribution of ornamental fishes and aquarium and pet accessories. ","principal activities of the Company are those relating to import, export, farming, breeding and distribution of ornamental fishes and aquarium and pet accessories. ",No,relating breeding distribution ornamental fishes aquarium pet,relating breeding distribution ornamental fishes aquarium pet,relating breeding distribution ornamental fishes aquarium pet
61,RAFFLES MEDICAL GROUP LTD 2022 (198901967K).pdf,126,198901967K,"principal activities of the Company are those relating to the operation of medical clinics, other general medical services and investment holdings. The Group and the Company are the sole proprietor of the following: Family Doctors RafflesCare Raffles Airport Medical Centre Raffles Corporate Wellness Raffles Dental Surgery Raffles Healthcare Consultancy Raffles Healthcare Institute Raffles Health Screeners Raffles Medical Management Raffles Medihelp Raffles Optica Raffles Pharmacare Raffles Pharmacy Raffles Solitaire Raffles Solitaire International Raffles Specialist Centre The Group and the Company are partners of the following: Changi Medical Services LLP Raffles International Medical Assistance LLP All transactions of these sole proprietorships and partnerships are reflected in the financial statements of the Company. ","operation of medical clinics, other general medical services and investment holdings",110,The Group and the Company are the sole proprietor of the following: Family Doctors RafflesCare Raffles Airport Medical Centre Raffles Corporate Wellness Raffles Dental Surgery and Raffles Healthcare Consultancy. All transactions of these sole proprietorships and partnerships are reflected in the financial statements of the Company.,"The principal activities of the Company are those relating to the operation of medical clinics, other general medical services and investment holdings. The Group is the sole proprietor of the following: Family Doctors, RafflesCare, Airport Medical Centre, Corporate Wellness, Dental Surgery, Healthcare Consultancy, Optica, Pharmacy, Medihelp, and Specialist Centre. It is also a partner of Changi Medical Services LLP and Raffles International Medical Assistance LLP.","The Company is engaged in the operation of medical clinics, other general medical services and investment holdings. The Group and the Company are the sole proprietors of the following: Family Doctors RafflesCare, Airport Medical Centre, Corporate Wellness, Dental Surgery Raffles Healthcare Consultancy, Healthcare Institute Raffles Health Screeners, Medihelp, Optica Raffles Pharmacy, Raffles Solitaire Raffles International Medical Assistance LLP and Raffles Specialist Centre.",Yes,medical general medical sole proprietors,sole proprietor transactions sole proprietorships partnerships reflected financial statements,medical general medical services sole proprietor partner
62,RH PETROGAS LIMITED 2022 (198701138Z).pdf,55,198701138Z,"principal activities of the Company were those of a trading company, investment holding, and exploration and production of oil and gas. ","a trading company, investment holding, and exploration and production of oil and gas",21,"principal activities of the Company were those of a trading company, investment holding, and exploration and production of oil and gas. ","principal activities of the Company were those of a trading company, investment holding, and exploration and production of oil and gas. ","principal activities of the Company were those of a trading company, investment holding, and exploration and production of oil and gas. ",No,exploration production oil,exploration production oil,exploration production oil
63,SAKAE HOLDINGS LTD. 2023 (199604816E).pdf,64,199604816E,"principal activities of the Company consist of the business of operating restaurants, trading of raw food materials, food processing and operating as caterer and event organiser. ","business of operating restaurants, trading of raw food materials",26,"principal activities of the Company consist of the business of operating restaurants, trading of raw food materials, food processing and operating as caterer and event organiser. ","principal activities of the Company consist of the business of operating restaurants, trading of raw food materials, food processing and operating as caterer and event organiser. ","principal activities of the Company consist of the business of operating restaurants, trading of raw food materials, food processing and operating as caterer and event organiser. ",No,consist business operating raw food food processing operating caterer event,consist business operating raw food food processing operating caterer event,consist business operating raw food food processing operating caterer event
64,SAMUDERA SHIPPING LINE LTD 2022 (199308462C).pdf,47,199308462C,principal activities of the Company are the owning and operating of ocean-going ships and the provision of containerised feeder shipping services. ,ocean-going ships and the provision of containerised feeder shipping services,21,principal activities of the Company are the owning and operating of ocean-going ships and the provision of containerised feeder shipping services. ,principal activities of the Company are the owning and operating of ocean-going ships and the provision of containerised feeder shipping services. ,principal activities of the Company are the owning and operating of ocean-going ships and the provision of containerised feeder shipping services. ,No,owning operating ships provision containerised feeder shipping,owning operating ships provision containerised feeder shipping,owning operating ships provision containerised feeder shipping
65,SBI OFFSHORE LIMITED 2019 (199407121D).pdf,60,199407121D,"principal activities of the Company are those of investment holding, marketing and distribution of drilling and related equipment, integrated engineering and equipment solutions. ","investment holding, marketing and distribution of drilling and related equipment",23,"principal activities of the Company are those of investment holding, marketing and distribution of drilling and related equipment, integrated engineering and equipment solutions. ","principal activities of the Company are those of investment holding, marketing and distribution of drilling and related equipment, integrated engineering and equipment solutions. ","principal activities of the Company are those of investment holding, marketing and distribution of drilling and related equipment, integrated engineering and equipment solutions. ",No,marketing distribution drilling related integrated engineering equipment,marketing distribution drilling related integrated engineering equipment,marketing distribution drilling related integrated engineering equipment
66,SBS TRANSIT LTD 2022 (199206653M).pdf,90,199206653M,"principal activities of the Company are those of the provision of public transport services, namely bus and rail services. Prior to 1 January 2022, the operations of the North-East Mass Rapid Transit System ( NEL ), Sengkang Light Rapid Transit System and the Punggol Light Rapid Transit System ( SPLRT ) were operating under the Company. These have since been transferred to the wholly-owned subsidiary, SBS Transit Rail Pte. Ltd. on 1 January 2022, in line with the transition to the New Rail Financing Framework (Version 2). ",provision of public transport services,87,"The operations of the North-East Mass Rapid Transit System ( NEL ) and the Punggol Light Rapid Transit system ( SPLRT ) were operating under the Company. These have since been transferred to the wholly-owned subsidiary, SBS Transit Rail Pte. Ltd. on 1 January 2022.","The operations of the North-East Mass Rapid Transit System (NEL), Sengkang LRT System (SLR), and Punggol LRT have been transferred to the wholly-owned subsidiary, SBS Transit Rail Pte. Ltd. on 1 January 2022.","The Company provides bus and rail transport services. The operations of the North-East Mass Rapid Transit System (NEL), Sengkang LRT, and Punggol LRT have been transferred to the wholly-owned subsidiary, SBS Transit Rail Pte. Ltd. on 1 January 2022.",Yes,provides bus rail transport operations transferred,operations operating transferred,operations transferred
67,SECOND CHANCE PROPERTIES LTD 2023 (198103193M).pdf,99,198103193M,"principal activities of the Company are those of an investment holding company, retailing of ready- made garments, holding of property as investment for rental income and investing in securities. ",investing in securities,29,"principal activities of the Company are those of an investment holding company, retailing of ready- made garments, holding of property as investment for rental income and investing in securities. ","principal activities of the Company are those of an investment holding company, retailing of ready- made garments, holding of property as investment for rental income and investing in securities. ","principal activities of the Company are those of an investment holding company, retailing of ready- made garments, holding of property as investment for rental income and investing in securities. ",No,retailing property rental income investing,retailing property rental income investing,retailing property rental income investing
68,SERIAL SYSTEM LTD 2022 (199202071D).pdf,67,199202071D,The  principal activities of the Company are that of investment holding and provision of management services to its subsidiaries. ,investment holding and provision of management services to its subsidiaries,19,The  principal activities of the Company are that of investment holding and provision of management services to its subsidiaries. ,The  principal activities of the Company are that of investment holding and provision of management services to its subsidiaries. ,The  principal activities of the Company are that of investment holding and provision of management services to its subsidiaries. ,No,provision management services,provision management services,provision management services
69,SEROJA INVESTMENTS LIMITED 2022 (198300847M).pdf,34,198300847M,principal activities of the Company are those relating to investment holding. ,investment holding,11,principal activities of the Company are those relating to investment holding. ,principal activities of the Company are those relating to investment holding. ,principal activities of the Company are those relating to investment holding. ,No,relating,relating,relating
70,SHANAYA LIMITED 2022 (199804583E).pdf,53,199804583E,"principal activity of the Company is that of the provision of management and office administration services on a fee, and investment holding. ","provision of management and office administration services on a fee, and investment holding",22,"principal activity of the Company is that of the provision of management and office administration services on a fee, and investment holding. ","principal activity of the Company is that of the provision of management and office administration services on a fee, and investment holding. ","principal activity of the Company is that of the provision of management and office administration services on a fee, and investment holding. ",No,provision management office administration services,provision management office administration services,provision management office administration services
71,SIA ENGINEERING COMPANY LIMITED 2023 (198201025C).pdf,113,198201025C,"principal activities of the Company are the provision of airframe maintenance, component overhaul services and inventory technical management, the provision of line maintenance and technical ground handling services and investment holdings. ","provision of airframe maintenance, component overhaul services and inventory technical management",31,"The Company provides airframe maintenance, component overhaul services and inventory technical management. It also provides line maintenance and technical ground handling services and investment","The Company's principal activities are the provision of airframe maintenance, component overhaul services, inventory technical management, line maintenance and technical","The Company provides airframe maintenance, component overhaul services and inventory technical management. It also provides line maintenance and technical ground handling services.",Yes,provides airframe component overhaul services inventory technical provides line maintenance,provides airframe component overhaul services inventory technical provides line maintenance,provision airframe component overhaul inventory technical line maintenance technical
72,SING INVESTMENTS & FINANCE LIMITED 2022 (196400348D).pdf,88,196400348D,principal activities of the Company are those of a licensed finance company. The principal activities of the subsidiary are those of a nominee service company. The consolidated financial statements of the Group and statement of financial position and statement of changes in equity of the Company for the year ended 31 December 2022 were authorised for issue by the Board of Directors on 24 February 2023. 2 SUMMARY OF SIGNIFICANT ACCOUNTING POLICIES ,licensed finance company,72,The consolidated financial statements of the Group were authorised for issue by the Board of Directors on 24 February 2023. The. principal activities of the Company are those of a licensed finance company. The principal activities. of the subsidiary are those. of a nominee service company.,The consolidated financial statements of the Group for the year ended 31 December 2022 were authorised for issue by the Board of Directors on 24 February 2023. The Company's principal activities are those of a licensed finance company and the subsidiary's are that of a nominee service company.,The consolidated financial statements of the Group and statement of financial position of the Company for the year ended 31 December 2022 were authorised for issue by the Board of Directors on 24 February 2023.,Yes,consolidated financial statements statement financial position year ended 31 2022,consolidated financial statements authorised issue 24 licensed finance subsidiary nominee,consolidated financial statements year ended 31 2022 authorised issue 24
73,SINGAPORE AIRLINES LIMITED 2023 (197200078R).pdf,122,197200078R,"principal activities of the Group consist of passenger and cargo air transportation, engineering services, training of pilots, air charters, tour activities, sale of merchandise and related activities. ","passenger and cargo air transportation, engineering services",27,"principal activities of the Group consist of passenger and cargo air transportation, engineering services, training of pilots, air charters, tour activities, sale of merchandise and related activities. ","principal activities of the Group consist of passenger and cargo air transportation, engineering services, training of pilots, air charters, tour activities, sale of merchandise and related activities. ","principal activities of the Group consist of passenger and cargo air transportation, engineering services, training of pilots, air charters, tour activities, sale of merchandise and related activities. ",No,consist passenger cargo air engineering training air tour sale merchandise,consist passenger cargo air engineering training air tour sale merchandise,consist passenger cargo air engineering training air tour sale merchandise
74,SINGAPORE POST LIMITED 2023 (199201623M).pdf,121,199201623M,"principal activities of the Company consist of the operation and provision of postal and parcel delivery services, eCommerce logistics and property. Its subsidiaries are principally engaged in provision of delivery services and eCommerce logistics solutions, provision of integrated supply chain and distributions services, freight forwarding and investment holding. These financial statements were authorised for issue on 5 June 2023 in accordance with a resolution of the Board of Directors of Singapore Post Limited. ","operation and provision of postal and parcel delivery services, eCommerce logistics and property",73,Singapore Post Limited's principal activities consist of the operation and provision of postal and parcel delivery services. Its subsidiaries are principally engaged in provision of delivery services and eCommerce logistics solutions. These financial statements were authorised for issue on 5 June 2023.,"The financial statements of Singapore Post Limited were authorised for issue on 5 June 2023 in accordance with a resolution of the Board of Directors of the Company. The Company's principal activities consist of the operation and provision of postal and parcel delivery services, eCommerce logistics and property. Its subsidiaries are principally engaged in","Singapore Post Limited's financial statements were authorised for issue on 5 June 2023. The Company's principal activities include the operation and provision of postal and parcel delivery services, eCommerce logistics and property.",Yes,financial statements authorised issue include operation provision postal parcel delivery,consist operation provision postal parcel delivery subsidiaries principally engaged provision,financial statements authorised issue 2023 accordance resolution consist operation provision
75,SINGAPORE TELECOMMUNICATIONS LIMITED 2023 (199201624D).pdf,145,199201624D,"principal activities of the Company consist of the operation and provision of telecommunications systems and services, and investment holding. ","operation and provision of telecommunications systems and services, and investment holding",19,"principal activities of the Company consist of the operation and provision of telecommunications systems and services, and investment holding. ","principal activities of the Company consist of the operation and provision of telecommunications systems and services, and investment holding. ","principal activities of the Company consist of the operation and provision of telecommunications systems and services, and investment holding. ",No,consist operation provision telecommunications systems,consist operation provision telecommunications systems,consist operation provision telecommunications systems
76,SITRA HOLDINGS (INTERNATIONAL) LIMITED 2022 (197901237E).pdf,70,197901237E,"principal activities of the Company are that of investment holding, importers and exporters of wood-based and other related products. ","investment holding, importers and exporters",19,"principal activities of the Company are that of investment holding, importers and exporters of wood-based and other related products. ","principal activities of the Company are that of investment holding, importers and exporters of wood-based and other related products. ","principal activities of the Company are that of investment holding, importers and exporters of wood-based and other related products. ",No,importers exporters related,importers exporters related,importers exporters related
77,SPINDEX INDUSTRIES LIMITED 2023 (198701451M).pdf,42,198701451M,"principal activities of the Company are to carry on the business as importer, exporter and dealer of mechanical, electrical and electronic parts. The principal activities of the subsidiaries are manufacturing and trading of mechanical, electrical, electronic parts, precision machine parts and other engineering materials. ","importer, exporter and dealer of mechanical, electrical and electronic parts",44,"The Company's principal activities are to carry on the business as importer, exporter and dealer of mechanical, electrical and electronic parts. The principal activities of the subsidiaries are manufacturing and","The Company's principal activities are to carry on the business as importer, exporter and dealer of mechanical, electrical and electronic parts. The principal activities of the subsidiaries are manufacturing","The principal activities of the Company are to carry on the business as importer, exporter and dealer of mechanical, electrical and electronic parts. The Company's subsidiaries are manufacturing and trading of",Yes,carry business exporter dealer electrical electronic subsidiaries manufacturing,carry business exporter dealer electrical electronic subsidiaries manufacturing,carry business exporter dealer electrical electronic subsidiaries manufacturing
78,STARHUB LTD. 2022 (199802208C).pdf,204,199802208C,principal activities of the Company are those relating to the operation and provision of telecommunications services and other businesses relating to the info-communications industry. ,operation and provision of telecommunications services,24,principal activities of the Company are those relating to the operation and provision of telecommunications services and other businesses relating to the info-communications industry. ,principal activities of the Company are those relating to the operation and provision of telecommunications services and other businesses relating to the info-communications industry. ,principal activities of the Company are those relating to the operation and provision of telecommunications services and other businesses relating to the info-communications industry. ,No,relating operation provision telecommunications services businesses relating,relating operation provision telecommunications services businesses relating,relating operation provision telecommunications services businesses relating
79,SUNRISE SHARES HOLDINGS LTD. 2022 (198201457Z).pdf,59,198201457Z,principal activity of the Company is that of investment holding company. ,investment holding company,11,principal activity of the Company is that of investment holding company. ,principal activity of the Company is that of investment holding company. ,principal activity of the Company is that of investment holding company. ,No,principal activity of the Company is that of investment holding company. ,principal activity of the Company is that of investment holding company. ,principal activity of the Company is that of investment holding company. 
80,TAI SIN ELECTRIC LIMITED 2023 (198000057W).pdf,82,198000057W,principal activities of the company are that of cable and wire manufacturer and dealer in such products and investment holding. ,cable and wire manufacturer and dealer in such products and investment holding,20,principal activities of the company are that of cable and wire manufacturer and dealer in such products and investment holding. ,principal activities of the company are that of cable and wire manufacturer and dealer in such products and investment holding. ,principal activities of the company are that of cable and wire manufacturer and dealer in such products and investment holding. ,No,cable wire manufacturer dealer products,cable wire manufacturer dealer products,cable wire manufacturer dealer products
81,TAT SENG PACKAGING GROUP LTD 2022 (197702806M).pdf,57,197702806M,"The  The Group is primarily involved in the manufacturing and sales of corrugated paper products and other packaging products. principal activities of the subsidiaries are set out in note 7 to the financial statements. The immediate and ultimate holding company is PSC Corporation Ltd. (formerly known as Hanwell Holdings Limited), incorporated in the Republic of Singapore. ",subsidiaries are set out in note 7 to the financial statements,56,The Group is primarily involved in the manufacturing and sales of corrugated paper products and other packaging products. The immediate and ultimate holding company is PSC Corporation Ltd. (formerly known as Hanwell Holdings Limited),"The Group is primarily involved in the manufacturing and sales of corrugated paper products and other packaging products. The immediate and ultimate holding company is PSC Corporation Ltd. (formerly known as Hanwell Holdings Limited), incorporated in the Republic",The Group is principally involved in the manufacturing and sales of corrugated paper products and other packaging products. The principal activities of the subsidiaries are set out in note 7 to the financial statements. The immediate and ultimate holding company is PSC,Yes,principally involved manufacturing sales corrugated paper products packaging subsidiaries set,primarily involved manufacturing sales corrugated paper products packaging immediate ultimate,primarily involved manufacturing sales corrugated paper products packaging immediate ultimate
82,TELECHOICE INTERNATIONAL LIMITED 2022 (199802072R).pdf,129,199802072R,"principal activities of the Company during the financial year are investment holding and those of wholesalers, retailers, suppliers, importers, exporters, distributors, agents and dealers of mobile phones, prepaid cards, radio and telecommunication equipment and accessories and the provision of related services. ",investment holding,41," principal activities of the Company during the financial year are investment holding and those of wholesalers, retailers, suppliers, importers, exporters, distributors, agents and","The principal activities of the Company during the financial year are investment holding and those of wholesalers, retailers, suppliers, importers, exporters, distributors, agents","The principal activities of the Company during the financial year are investment holding and those of wholesalers, retailers, suppliers, importers, exporters, distributors, agents",Yes,financial year agents,financial year agents,financial year agents
83,TT INTERNATIONAL LIMITED 2023 (198403771D).pdf,56,198403771D,"principal activities of the Company are those relating to retail, trading and distribution of a wide range of furniture and furnishings, electrical and electronics products and investment holding. ","retail, trading and distribution of a wide range of furniture and furnishings",28,"principal activities of the Company are those relating to retail, trading and distribution of a wide range of furniture and furnishings, electrical and electronics products and investment holding. ","principal activities of the Company are those relating to retail, trading and distribution of a wide range of furniture and furnishings, electrical and electronics products and investment holding. ","principal activities of the Company are those relating to retail, trading and distribution of a wide range of furniture and furnishings, electrical and electronics products and investment holding. ",No,relating distribution wide range furniture electrical electronics products,relating distribution wide range furniture electrical electronics products,relating distribution wide range furniture electrical electronics products
84,UNITED OVERSEAS INSURANCE LIMITED 2022 (197100152R).pdf,4,197100152R,principal activities are the underwriting 1,underwriting 1,6,principal activities are the underwriting 1,principal activities are the underwriting 1,principal activities are the underwriting 1,No,underwriting,underwriting,underwriting
85,VENTURE CORPORATION LIMITED 2022 (198402886H).pdf,107,198402886H,"principal activities of the Company are to provide manufacturing, product design and development, engineering and supply-chain management services. ","provide manufacturing, product design and development, engineering and supply-chain management services",18,"principal activities of the Company are to provide manufacturing, product design and development, engineering and supply-chain management services. ","principal activities of the Company are to provide manufacturing, product design and development, engineering and supply-chain management services. ","principal activities of the Company are to provide manufacturing, product design and development, engineering and supply-chain management services. ",No,provide product design engineering management,provide product design engineering management,provide product design engineering management
86,VICOM LTD 2022 (198100320K).pdf,78,198100320K,principal activities of the Company are those of an investment holding company and the provision of motor vehicle evaluation and other related services. ,investment holding company and the provision of motor vehicle evaluation and other related services,23,principal activities of the Company are those of an investment holding company and the provision of motor vehicle evaluation and other related services. ,principal activities of the Company are those of an investment holding company and the provision of motor vehicle evaluation and other related services. ,principal activities of the Company are those of an investment holding company and the provision of motor vehicle evaluation and other related services. ,No,provision motor vehicle evaluation related,provision motor vehicle evaluation related,provision motor vehicle evaluation related
